,confirmed,newlyconfirmed,date
2021-06-03,9655,27.0,2021-06-03
2021-06-04,9675,20.0,2021-06-04
2021-06-05,9675,0.0,2021-06-05
2021-06-06,9675,0.0,2021-06-06
2021-06-07,9735,60.0,2021-06-07
2021-06-08,9767,32.0,2021-06-08
2021-06-09,9797,30.0,2021-06-09
2021-06-10,9822,25.0,2021-06-10
2021-06-11,9876,54.0,2021-06-11
2021-06-12,9876,0.0,2021-06-12
2021-06-13,9876,0.0,2021-06-13
2021-06-14,9932,56.0,2021-06-14
2021-06-15,9973,41.0,2021-06-15
2021-06-16,10006,33.0,2021-06-16
